baseMean,log2FoldChange,lfcSE,pvalue,padj,genus,significant,direction
87.62918290144802,-0.8551947168683025,1.2787392571660043,3.4119531888949866e-28,1.9448133176701422e-26,Bacillus,TRUE,NAT_enriched
13.541173710796663,-1.0299864455958347,1.453339373051036,9.923887954249042e-24,2.5220673974550543e-22,Aeromonas,TRUE,NAT_enriched
14.397001748999672,-0.638441594532654,1.1231808882583942,1.327403893397397e-23,2.5220673974550543e-22,Janibacter,TRUE,NAT_enriched
11.49044256127586,-0.30265569148516935,0.9931072996143062,2.0117170429970415e-23,2.866696786270784e-22,Sphingobium,TRUE,NAT_enriched
26.90524109312192,-1.2112532609691689,1.6406250068985724,6.865532821239498e-23,6.663070696067752e-22,Brachybacterium,TRUE,NAT_enriched
24.89219081938437,-0.44487032362483747,1.0299773313332874,7.01375862743974e-23,6.663070696067752e-22,Devosia,TRUE,NAT_enriched
55.308200066431134,-0.1988323674180423,0.9585374599015987,4.982614726483734e-20,4.0572719915653263e-19,Lactococcus,TRUE,NAT_enriched
10.633361421392244,0.27490294183771535,0.9763878776647482,1.5889090999787673e-19,1.1320977337348717e-18,Unknown genus24,TRUE,Tumor_enriched
12.639093731551649,0.21498322263944686,0.9717538297311293,5.156462726357788e-19,3.2657597266932656e-18,Caulobacter,TRUE,Tumor_enriched
22.35943539861035,-0.08629422843199203,0.9467598013374341,5.2367046403048053e-17,2.984921644973739e-16,Halomonas,TRUE,NAT_enriched
29.66996679968178,-0.1379798979388447,0.9448149579897233,4.384179311743361e-16,2.2718020069942873e-15,Arthrobacter,TRUE,NAT_enriched
25.50957652235227,0.17621789618732814,0.9511538012617091,1.5110440672248863e-13,7.17745931931821e-13,Kaistobacter,TRUE,Tumor_enriched
424.6274794887611,-0.14854377919914982,0.9564172084262985,2.7823047219543347e-13,1.2199336088569008e-12,Unknown genus6,TRUE,NAT_enriched
34.96817282562688,-0.20195767573311493,0.9296504291374104,2.790872548776453e-10,1.136283823430413e-9,Veillonella,TRUE,NAT_enriched
13.433527545696002,-0.4489892061291213,1.009466243351251,1.6402097348846434e-8,6.232796992561645e-8,Aerococcus,TRUE,NAT_enriched
24.046712590470012,-0.6228901872245931,1.0909198573449053,7.493454678326702e-8,2.6695432291538877e-7,Porphyromonas,TRUE,NAT_enriched
22.32120686407283,0.5943183919305527,1.079029391876359,3.6635076558160937e-7,1.228352566950102e-6,Stenotrophomonas,TRUE,Tumor_enriched
7.122939652294947,-0.09284194822566656,0.9495661121674862,5.237798246499831e-5,1.658636111391613e-4,Unknown genus41,TRUE,NAT_enriched
18.700234620687898,-0.041759248662710226,0.9375882288933622,5.6370406037231165e-5,1.691112181116935e-4,Mesorhizobium,TRUE,NAT_enriched
38.29407847764569,-0.06088685917672306,0.9400449431807063,8.434120912755639e-5,2.403724460135357e-4,Blastococcus,TRUE,NAT_enriched
32.4408935563148,-0.024933329438149826,0.940062012767587,2.1074093626677516e-4,5.72011112724104e-4,Anaerococcus,TRUE,NAT_enriched
28.627259638325068,0.08510590796389803,0.838062111739549,2.614646469723785e-4,6.774311307920715e-4,Microbacterium,TRUE,Tumor_enriched
15.772612473597956,-1.003253810192374,1.380513665807492,3.3652918134881933e-4,8.340071016035957e-4,Cloacibacterium,TRUE,NAT_enriched
96.37741415529823,0.24587061404316263,0.9353716777295285,0.0021535498458774833,0.005114680883959023,Lactobacillus,TRUE,Tumor_enriched
18.825792214650555,0.040976076087217705,0.8368163541355046,0.002748276651682936,0.006266070765837094,Bosea,TRUE,Tumor_enriched
16.045123250547746,0.10819713273823446,0.9398799395604798,0.005700425962659245,0.012497087687368347,Mycobacterium,TRUE,Tumor_enriched
20.1661105073033,0.10242763449779498,0.9462256762218565,0.012138853947172176,0.02562646944403015,Novosphingobium,TRUE,Tumor_enriched
27.12971379781698,-0.5731489096465601,1.0572821546681612,0.022170157921496902,0.045132107197332974,Nocardioides,TRUE,NAT_enriched
76.28751412377947,0.5522294100328786,0.998926676066808,0.02528290464741344,0.04969398499664021,Rothia,TRUE,Tumor_enriched
