taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Abiotrophia,0.029726624026664778,0.7939585796323103,0.008354187011718755,0.3781890002163976,4.127232326712443,4.76843514740446,3.6120574024647034,-1.7047547713663773,2.0797239800815315,-0.6801082787791934,0.12093640649862639,0.029726624026664778,0.7939585796323103,0.008354187011718755,0.3781890002163976,0.3781890002163976,FALSE,ns
Alcaligenes,0.04787307264438345,0.7451192531350098,0.0365104675292969,0.6136031034654336,3.9889301645904234,4.540501296870843,1.4260373787054164,-2.6274503939664915,5.974703882440136,-0.5217182503861019,0.20442714752546026,0.04787307264438345,0.7451192531350098,0.0365104675292969,0.6136031034654336,0.6136031034654336,FALSE,ns
Sphingomonas,0.03388850426041387,0.6365004896425109,0.03362274169921875,0.6279214223225912,-2.9757159607937185,-4.209446737495041,1.9948413925900264,5.424406043645495,7.835665586981034,0.6790614848032226,0.25130213002132745,0.03388850426041387,0.6365004896425109,0.03362274169921875,0.6279214223225912,0.6279214223225912,FALSE,ns
Brevundimonas,0.06999239846177416,0.7663441237034534,0.07354736328125003,0.7456391652425131,-3.617256686234307,-4.63489276626992,-2.2357751324995476,3.630980275537441,6.8183559927490585,0.5705265023695454,0.2717815750835964,0.06999239846177416,0.7663441237034534,0.07354736328125003,0.7456391652425131,0.7456391652425131,FALSE,ns
Alishewanella,0.12482817711174837,0.8869634107339759,0.10523223876953133,0.7661819792332145,4.198030572275174,4.745031397272053,3.7548024041634505,-1.2089004670019636,2.8639904192187413,-0.33819280641988486,0.2343750522850191,0.12482817711174837,0.8869634107339759,0.10523223876953133,0.7661819792332145,0.7661819792332145,FALSE,ns
Alistipes,0.22689987096114614,0.9932976679962511,0.07955932617187506,0.7976528078193691,3.554530790574692,4.206645955019417,3.1543208566500462,-1.3067827843058137,2.1407122015966285,-0.3837105696964008,0.1809896593479694,0.22689987096114614,0.9932976679962511,0.07955932617187506,0.7976528078193691,0.7976528078193691,FALSE,ns
Agrococcus,0.33311857124452465,0.9061510612800637,0.1741333007812501,0.7986135548170943,3.995625107585187,4.377393776397155,3.6794489680196962,-0.9522128127917675,3.744515704004295,-0.20808890887556636,0.2704811853212746,0.33311857124452465,0.9061510612800637,0.1741333007812501,0.7986135548170943,0.7986135548170943,FALSE,ns
Aequorivita,0.2066178212526523,0.9685679650102446,0.18141937255859386,0.8458975948370532,3.73556839209324,4.199404988976259,3.348424262936046,-1.1004252439579023,2.9057371077727683,-0.29982134833240714,0.2656250424385249,0.2066178212526523,0.9685679650102446,0.18141937255859386,0.8458975948370532,0.8458975948370532,FALSE,ns
Acinetobacter,0.09094487465189362,0.9425490122632079,0.13890838623046886,0.8697203911949729,4.328956322802476,4.744461708956253,3.8417929856501116,-0.9801936827142423,2.7961339524402615,-0.29651342200098063,0.28998703203294957,0.09094487465189362,0.9425490122632079,0.13890838623046886,0.8697203911949729,0.8697203911949729,FALSE,ns
Aliidiomarina,0.5245924714550669,1,0.17730331420898449,0.8819006407869503,3.484685158683456,4.017918885927325,3.1468528303031764,-1.0350593850890255,2.8803613175360088,-0.21720064713987405,0.2617187935581083,0.5245924714550669,1,0.17730331420898449,0.8819006407869503,0.8819006407869503,FALSE,ns
Adhaeribacter,0.6089796335819883,1,0.25294113159179704,0.9088469213310232,3.9558800204251683,4.357845879358544,3.6146187555186415,-0.9012018973936051,3.413237405193903,-0.17811605992259424,0.2760417062502286,0.6089796335819883,1,0.25294113159179704,0.9088469213310232,0.9088469213310232,FALSE,ns
Pseudomonas,0.11773185423846502,0.9141952824335857,0.195293426513672,0.9089333233601183,3.431790152641412,4.102815384995833,-1.227606610655866,-3.914768445888063,8.906412320794464,-0.3821958171388491,0.3589076939042812,0.11773185423846502,0.9141952824335857,0.195293426513672,0.9089333233601183,0.9089333233601183,FALSE,ns
Unknown genus476,0.3005448761155675,0.9519639516411877,0.2738037109375001,0.9166895548502604,-3.878521136694917,-4.677500426516247,-3.0253277694938383,1.6323648577611527,7.019001402871888,0.22301832124457893,0.35026043990699307,0.3005448761155675,0.9519639516411877,0.2738037109375001,0.9166895548502604,0.9166895548502604,FALSE,ns
Hydrogenophilus,0.33590498465709734,0.9551022249687592,0.458751678466797,0.9255664902504045,-3.6983575053233197,-3.5244128164133706,-3.809363696692034,-0.7896974449285485,6.999472127348657,-0.09451681756796959,0.42187501131411387,0.33590498465709734,0.9551022249687592,0.458751678466797,0.9255664902504045,0.9255664902504045,FALSE,ns
Rhodobaca,0.4954001781650526,0.9693313158081411,0.43445205688476574,0.9475650787353516,-3.5262667404597776,-3.9094154192647625,-3.010241118462095,0.7381228082938884,6.208911052235999,0.12793216445036765,0.4296875101345153,0.4954001781650526,0.9693313158081411,0.43445205688476574,0.9475650787353516,0.9475650787353516,FALSE,ns
Lysobacter,0.44765238453768114,0.974156591483465,0.48397064208984386,0.9538923899332682,-3.7599123392367915,-4.3260044091968615,-3.1560016029457465,1.074724511235222,5.732875392319643,0.1968808676973835,0.4057217302902,0.44765238453768114,0.974156591483465,0.48397064208984386,0.9538923899332682,0.9538923899332682,FALSE,ns
Lactobacillus,0.3977846732866796,0.9784814771425386,0.45820617675781267,0.958611870030633,-1.9453985165728387,1.4430978235213958,-2.4369498650894448,-1.4354401782620116,10.435310297066291,-0.1444355092143265,0.4369310883550233,0.3977846732866796,0.9784814771425386,0.45820617675781267,0.958611870030633,0.958611870030633,FALSE,ns
Agromyces,0.6704249289119375,0.999532112220601,0.37289047241210954,0.9611409907003182,3.821997737472549,4.134477463107563,3.590858260086222,-0.6981687813150468,7.11311636457269,-0.10240830181484077,0.3589076939042812,0.6704249289119375,0.999532112220601,0.37289047241210954,0.9611409907003182,0.9611409907003182,FALSE,ns
A17,0.5972248004367458,1,0.35137557983398454,0.9611748572536359,4.003824076736622,4.514157057199027,3.639069802165637,-0.8989286113283437,4.001016013753311,-0.20047167012000333,0.3029909301334472,0.5972248004367458,1,0.35137557983398454,0.9611748572536359,0.9611748572536359,FALSE,ns
