taxon,lfc_(Intercept),lfc_GroupTumor,se_(Intercept),se_GroupTumor,W_(Intercept),W_GroupTumor,p_(Intercept),p_GroupTumor,q_(Intercept),q_GroupTumor,diff_(Intercept),diff_GroupTumor,passed_ss_(Intercept),passed_ss_GroupTumor,diff_robust_(Intercept),diff_robust_GroupTumor,lfc,qval,diff,diff_robust,significant,significant_robust,direction,direction_robust
Microbacterium,-0.41327663950228494,-0.1761244011194426,0.3796719681091808,0.29479931666908327,-1.0885097510897632,-0.5974382950050896,0.39005932594875853,0.6108085911614092,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.1761244011194426,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Neisseria,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Paracoccus,-0.3606692403000576,0.7742494366907507,0.9590207565838814,1.4733091944969712,-0.3760807446804322,0.5255172774205764,0.7318774380697863,0.6355915264504794,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.7742494366907507,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Petrobacter,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Prevotella,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Pseudomonas,0.12154793326967576,-0.5708333647785389,0.7706092854539394,1.2281237795202817,0.15772965050385562,-0.46480116605307686,0.8772928541487015,0.6503944472730185,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.5708333647785389,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Rhodobaca,-0.10677395587648664,0.39520034517841113,0.23545095787956696,0.22478479380776886,-0.4534870311765793,1.7581275783110935,0.6946509842113565,0.2208011529872212,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.39520034517841113,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Schlegelella,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Sphingomonas,-0.5454223210705555,1.0565152714512451,0.974348871692539,1.0708204875934528,-0.5597813441535615,0.9866408830350668,0.5997774705094733,0.36912618639126177,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.0565152714512451,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Staphylococcus,-0.44584100518597664,0.5962312606778974,0.38513503144089617,0.348014457869571,-1.157622570759047,1.7132370428741015,0.5813435586302261,0.9233057754338425,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5962312606778974,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Streptococcus,-0.26153561187577384,1.142557384422574,0.6081045080463064,0.864280520263213,-0.43008333011051814,1.3219751662048487,0.680065124520838,0.22773697357476358,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.142557384422574,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Unknown genus296,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Unknown genus41,-0.3657097130897169,-0.24473817282441482,0.4418270908384099,0.47398125721370377,-0.8277213431972836,-0.516345676331395,0.5151228371330879,0.8625407102343651,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.24473817282441482,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Unknown genus476,1.5995242733534196,-1.1975600808751006,0.281673845255353,0.29036608894785193,5.6786396759818505,-4.124311090232632,0.11091362734356923,0.1510988076763213,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.1975600808751006,1,FALSE,FALSE,FALSE,FALSE,ns,ns
Xanthomonas,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1,FALSE,FALSE,FALSE,FALSE,ns,ns
