taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Klebsiella,0.002856188134645773,0.14949892794309302,3.587799741033459e-4,0.01221882826579789,-2.4968337372159226,-2.0610192071875293,-2.9601225989462536,-0.9135184270021428,5.325003599775386,-0.15094857284574142,0.3822000004157439,0.01221882826579789,TRUE,NAT_enriched
Staphylococcus,1.9654588208784483e-4,0.02081188103494612,8.234727711518459e-4,0.08711474674380092,8.926781991387148,8.090347555720083,9.05395993652521,0.7471153525979322,6.23134695168617,0.12504297069409764,0.422600000264334,0.02081188103494612,TRUE,Tumor_enriched
Afipia,0.0024017115086811484,0.13655800023806083,0.0011215134776570667,0.02131719737007643,-3.45134875038676,-2.943360643212297,-3.8822989929492167,-0.9538253002802142,5.7408975217080975,-0.13448798017566158,0.38420000040787805,0.02131719737007643,TRUE,NAT_enriched
Haemophilus,0.019689773929044516,0.4716576235788815,0.001228460220724278,0.025599005279553787,-1.729087921408131,-1.4014705565774808,-2.1429257739555716,-0.8027663793996389,5.7775992610529565,-0.1329702455339543,0.38872225593898957,0.025599005279553787,TRUE,NAT_enriched
Prevotella,6.667370023196399e-4,0.03533706112294091,0.0033921099461833616,0.16604319067938336,6.814325521132133,3.136619295830716,8.281953969261373,1.0337951459310961,6.786737478331845,0.17850669459633867,0.3944000003684341,0.03533706112294091,TRUE,Tumor_enriched
Janibacter,0.08358697851846733,0.8105817009767226,0.00297127969060205,0.04199102779293608,-1.5253739264853836,-1.217309280500121,-1.888635132693686,-0.6956084616855431,7.023279831142396,-0.09872279259013242,0.4128000002997849,0.04199102779293608,TRUE,NAT_enriched
Sphaerobacter,0.014885174012606587,0.36354418620548323,0.005463622129550476,0.04768597594960475,-2.907892745972225,-2.520090240441487,-3.3376838812106566,-0.7518045265185043,4.229188960508072,-0.1401990264000051,0.39132173603294157,0.04768597594960475,TRUE,NAT_enriched
Comamonas,0.047443539248130995,0.6207128934115315,0.006091258760738674,0.05220947179142391,-2.8382754916678294,-2.4802788758774073,-3.236903344701358,-0.7547157004982354,4.075552158456151,-0.1444934282870578,0.39600000036234284,0.05220947179142391,FALSE,ns
Cloacibacterium,0.1697631966344212,0.9396127773584849,0.005391371891677851,0.05470482509998184,-2.2680696624116523,-1.965522951878235,-2.6352681779150853,-0.6655459455196491,5.427527562518029,-0.10311862709307401,0.4114000003049077,0.05470482509998184,FALSE,ns
Leuconostoc,0.045416274177955955,0.6674746422970984,0.010965898659682621,0.08230123283039247,-1.4316059679213984,-1.1473680147007919,-1.791467001030087,-0.6958447620592034,6.553800840105844,-0.10646449718557946,0.4022000003389685,0.08230123283039247,FALSE,ns
