taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_we,q_we,p_wi,q_wi,p_min,significant,direction
Ammoniphilus,0.01965869756715062,0.7389886547367716,0.0048330387774475556,0.30295559026096774,6.0503389546266,6.225169152235767,5.858599247004401,-0.4237090395354186,3.1035679137326175,-0.08704097545920662,0.4275144973472866,0.01965869756715062,0.7389886547367716,0.0048330387774475556,0.30295559026096774,0.30295559026096774,FALSE,ns
Aeromonas,0.03119573558966376,0.868654782670611,0.005972417531671037,0.34003871301194033,6.023231646513282,6.182249609342083,5.83708970758328,-0.4164309583686805,2.89624716525482,-0.08714330183547989,0.4325134975295777,0.03119573558966376,0.868654782670611,0.005972417531671037,0.34003871301194033,0.34003871301194033,FALSE,ns
Bacillus,0.015153550200077541,0.5791708628493643,0.01911155415293089,0.3981951241332417,-1.1149313604182565,-0.690658429795822,-1.4498121974692992,-1.1018711100049305,8.446323093865931,-0.13125946378042688,0.4283143373764434,0.015153550200077541,0.5791708628493643,0.01911155415293089,0.3981951241332417,0.3981951241332417,FALSE,ns
Actinobacillus,0.004490955237763071,0.40312018313478243,0.051311502499180144,0.9667997988933988,5.659233539918049,5.553606145527721,5.748130780804331,0.36900916644148785,6.718782251090981,0.05033172243147173,0.4568000001450828,0.004490955237763071,0.40312018313478243,0.051311502499180144,0.9667997988933988,0.40312018313478243,FALSE,ns
Alloscardovia,0.1488538008049333,0.9792452545947626,0.020830122677073733,0.48830575985755476,6.0181785091299185,6.137352544316708,5.875507234008731,-0.36330076178239334,3.2076619138686215,-0.07026011738247717,0.4389122177631174,0.1488538008049333,0.9792452545947626,0.020830122677073733,0.48830575985755476,0.48830575985755476,FALSE,ns
Actinomyces,0.09966039545214384,0.9797587055328716,0.023112133843914095,0.5114713120294515,6.06948652060888,6.214096007618381,5.926136098162646,-0.30803607827992563,3.6740010748466996,-0.05734738651349286,0.45330933828931574,0.09966039545214384,0.9797587055328716,0.023112133843914095,0.5114713120294515,0.5114713120294515,FALSE,ns
Acidovorax,0.2982053872494443,1,0.027899689744268177,0.5495198946677611,6.039051413636343,6.14218891765667,5.932529440439863,-0.25201435146108375,2.5770271819493975,-0.05508887811590687,0.4549090183478358,0.2982053872494443,1,0.027899689744268177,0.5495198946677611,0.5495198946677611,FALSE,ns
Alcaligenes,0.43774494129461555,1,0.030739754408541403,0.5744820016818246,6.007636397678036,6.129659596359988,5.859917747885898,-0.27605096652068717,3.3060809408128438,-0.052897815948287755,0.4515096982234912,0.43774494129461555,1,0.030739754408541403,0.5744820016818246,0.5744820016818246,FALSE,ns
Achromobacter,0.38546776065904514,1,0.06772345476500594,0.7211243998328216,5.951229051242809,6.055758399502152,5.82755921529643,-0.26529836004566665,4.039723448136529,-0.04698422323448413,0.459600000135552,0.38546776065904514,1,0.06772345476500594,0.7211243998328216,0.7211243998328216,FALSE,ns
Algoriphagus,0.5330586863468364,1,0.07398664268643772,0.7599605501646237,5.99720583855244,6.072900585228959,5.89570590046554,-0.2371751000661826,3.3262514158606162,-0.04452409076543224,0.4578000001416759,0.5330586863468364,1,0.07398664268643772,0.7599605501646237,0.7599605501646237,FALSE,ns
Afifella,0.217748386803927,0.9959175248595433,0.08749679488719922,0.7641675350777084,5.598955756448836,5.8129830817067845,5.3722450539486015,-0.45886821097744335,7.218388135164238,-0.06403274997545344,0.4493101381430584,0.217748386803927,0.9959175248595433,0.08749679488719922,0.7641675350777084,0.7641675350777084,FALSE,ns
Devosia,0.14656880589114388,0.8894662899499893,0.17958813415849872,0.7815981032699816,-1.7445471080892965,-1.6770242990931346,-1.8023830644387964,-0.330105776420754,6.650049751230448,-0.0417996727170475,0.4748000000842141,0.14656880589114388,0.8894662899499893,0.17958813415849872,0.7815981032699816,0.7815981032699816,FALSE,ns
Corynebacterium,0.10798707460792248,0.9723213405001567,0.08704855623876659,0.790124658508116,6.599169076281509,7.129185198381956,6.220761827970638,-0.6734604703448026,8.084068802392089,-0.08846472203166353,0.43931213777772127,0.10798707460792248,0.9723213405001567,0.08704855623876659,0.790124658508116,0.790124658508116,FALSE,ns
Enterococcus,0.20864093550440246,0.9050187800530014,0.26327167008199204,0.7936700698282958,-1.9885872783921812,-1.8526199137008863,-2.106608951265402,-0.35780917533886214,5.396918568906569,-0.05763295014699582,0.4719056189701318,0.20864093550440246,0.9050187800530014,0.26327167008199204,0.7936700698282958,0.7936700698282958,FALSE,ns
Aggregatibacter,0.453253004335945,1,0.12680463549685145,0.8353999321006736,5.87437167261077,5.964956040018937,5.768637179595862,-0.2164252698644895,3.978872057427084,-0.03862112475194235,0.46550689873575685,0.453253004335945,1,0.12680463549685145,0.8353999321006736,0.8353999321006736,FALSE,ns
Agrobacterium,0.5360417506436888,1,0.11589485055838158,0.8545130105731392,5.8998407738261065,6.058187646694465,5.718994689379324,-0.29442606918059155,4.4667946165037495,-0.04914753585262492,0.4556000001491764,0.5360417506436888,1,0.11589485055838158,0.8545130105731392,0.8545130105731392,FALSE,ns
Brachybacterium,0.21796300965624746,0.949369054246766,0.2754059378052138,0.85947137332606,-1.6832536355811563,-1.568513174719656,-1.7835198586684795,-0.33793514511419875,6.672509386220819,-0.04919377150071138,0.4733053390214142,0.21796300965624746,0.949369054246766,0.2754059378052138,0.85947137332606,0.85947137332606,FALSE,ns
Friedmanniella,0.18481365411265924,0.8731811183285074,0.25329512689011313,0.9329675647367808,-1.960091197281538,-2.1279214363852343,-1.7748136785319764,0.4178728902127169,5.446277332664964,0.06904745528830628,0.4634000001226576,0.18481365411265924,0.8731811183285074,0.25329512689011313,0.9329675647367808,0.8731811183285074,FALSE,ns
Adhaeribacter,0.6897810801661282,1,0.11889742755807835,0.8784006108632292,5.947698144625864,6.045098134851875,5.834397418153634,-0.21045254203755315,4.157977097738792,-0.0370186576327413,0.4673065388016639,0.6897810801661282,1,0.11889742755807835,0.8784006108632292,0.8784006108632292,FALSE,ns
Sphingobium,0.2957614706557707,0.972512137395377,0.2990617925233026,0.8920079280241362,-1.6991778289263557,-1.5895656849202204,-1.7993205606157856,-0.34273381214752785,6.230343258939777,-0.04926631872680494,0.4740000000869021,0.2957614706557707,0.972512137395377,0.2990617925233026,0.8920079280241362,0.8920079280241362,FALSE,ns
Skermanella,0.18353097681391525,0.8963692074996891,0.1898250542535379,0.9168863885968197,-1.9511055661682768,-2.1469607488339495,-1.7279097715945495,0.5093239010247288,5.620538879228125,0.08024820205009069,0.45380000015532623,0.18353097681391525,0.8963692074996891,0.1898250542535379,0.9168863885968197,0.8963692074996891,FALSE,ns
