baseMean,log2FoldChange,lfcSE,pvalue,padj,genus,significant,direction
21.032253117746443,-0.22643694882475543,1.0380318564737552,3.6622972634029354e-8,9.265612076409427e-6,Aureimonas,TRUE,NAT_enriched
12.541539754578178,-0.14946177732767832,1.0180174155283743,2.7040628396844815e-7,1.4956271132654394e-5,Limnohabitans,TRUE,NAT_enriched
16.37872380599394,-0.09672441033101895,1.006089974110968,3.282981742082807e-7,1.4956271132654394e-5,Pantoea,TRUE,NAT_enriched
5.4141916394226675,-0.11151321965309333,1.0120836607696808,2.033144603325229e-7,1.4956271132654394e-5,Phenylobacterium,TRUE,NAT_enriched
10.50177577439291,0.07283056957295587,1.0063145039256294,3.546941770589975e-7,1.4956271132654394e-5,Rhodococcus,TRUE,Tumor_enriched
10.241292647001993,0.11420062212596133,1.012227597031104,1.2947671043495642e-7,1.4956271132654394e-5,Unknown genus63,TRUE,Tumor_enriched
9.521878272209548,-0.1231510612412999,1.011422964452955,2.1522351323823895e-6,7.778792692753494e-5,Sphaerobacter,TRUE,NAT_enriched
8.996435054461603,0.054239753411628,1.0035718551095238,2.4611549161080935e-6,7.783402422191846e-5,Tepidimonas,TRUE,Tumor_enriched
8.087006372166156,0.06636274911750253,1.0043630782649213,3.2680193883566364e-6,9.186765613935878e-5,Pseudonocardia,TRUE,Tumor_enriched
28.5834467033612,0.2926341570391119,1.063962067123366,4.490513049274141e-6,1.1360998014663577e-4,Devosia,TRUE,Tumor_enriched
21.362062223448504,0.05503696797797797,1.000955008207376,8.029777654910519e-6,1.4510955333516868e-4,Cellulomonas,TRUE,Tumor_enriched
7.516787277489722,0.06245840459168305,1.004293479799699,7.921842863667632e-6,1.4510955333516868e-4,Eubacterium,TRUE,Tumor_enriched
34.62912187407222,-0.15150217264371563,1.0157247354459387,7.079688126857296e-6,1.4510955333516868e-4,Klebsiella,TRUE,NAT_enriched
8.187536573187648,-0.06596460675848341,1.0046820518688666,7.046262119117512e-6,1.4510955333516868e-4,Unknown genus5,TRUE,NAT_enriched
13.38569780353373,-0.05965083842407054,1.0052444849766597,1.3800132831491274e-5,2.3276224042448617e-4,Methylibium,TRUE,NAT_enriched
38.34851048408203,-0.06976638996943785,0.9905491885842177,1.6447263029487124e-5,2.6007234665376513e-4,Afipia,TRUE,NAT_enriched
7.0386743554808024,0.046059202967575805,1.0042805154488517,2.122585924987592e-5,3.158907288363887e-4,Unknown genus13,TRUE,Tumor_enriched
43.56097586708687,0.09289327415674437,1.0047525194449607,2.7557219257640768e-5,3.3199887962776734e-4,Blastococcus,TRUE,Tumor_enriched
10.177049137548265,-0.08228116144616311,1.0045832528353418,2.60297144241666e-5,3.3199887962776734e-4,Erwinia,TRUE,NAT_enriched
20.085125288979306,0.049234098252267745,1.0054341824798119,2.6955793304784722e-5,3.3199887962776734e-4,Rhizobium,TRUE,Tumor_enriched
3.89897797965571,0.02592056273807866,1.002787294059091,2.606423560841833e-5,3.3199887962776734e-4,Thermus,TRUE,Tumor_enriched
53.68707090057484,0.12515088269318497,1.006743857200053,4.040553386143291e-5,4.6466363940647843e-4,Unknown genus116,TRUE,Tumor_enriched
15.34283275314535,-0.08723342482088065,1.0038817720364401,4.278178023638345e-5,4.70599582600218e-4,Gluconacetobacter,TRUE,NAT_enriched
9.185169672751842,0.07676368556133503,1.0038427967548946,4.72233428951913e-5,4.978127396868083e-4,Unknown genus125,TRUE,Tumor_enriched
6.046515585303966,-0.10553087805557401,1.0059824117449585,5.4585846325579245e-5,5.220095968455675e-4,Comamonas,TRUE,NAT_enriched
18.79511840102066,0.051926604101233474,1.0026293581408214,5.53696085863917e-5,5.220095968455675e-4,Ochrobactrum,TRUE,Tumor_enriched
5.371288841528907,0.04290828712419565,1.0033761747058112,5.570853405071274e-5,5.220095968455675e-4,Rhodobacter,TRUE,Tumor_enriched
19.282630808441606,0.01478627920598854,1.0031236768750027,8.238405871111503e-5,7.443988162111466e-4,Unknown genus35,TRUE,Tumor_enriched
17.58050981326258,-0.061593853351589525,1.0049745105903805,9.406310370873806e-5,8.122913549824719e-4,Sphingobacterium,TRUE,NAT_enriched
10.466860656257346,0.018442946954187002,1.00119448703747,9.631913300187415e-5,8.122913549824719e-4,Unknown genus24,TRUE,Tumor_enriched
6.036383950045715,-0.05298731973887525,1.0033979001962685,1.1259816750015561e-4,8.902292617981053e-4,Jeotgalicoccus,TRUE,NAT_enriched
15.90351013004185,0.05278889804203125,1.0023043302104524,1.0999730382842673e-4,8.902292617981053e-4,Streptomyces,TRUE,Tumor_enriched
18.932534102324155,0.012738446954579156,1.0030770345346176,1.3814815883539763e-4,0.0010591358844047152,Unknown genus86,TRUE,Tumor_enriched
10.408515775574429,-0.06013297350285859,1.0034429373026552,3.8133498159262326e-4,0.002837580892439226,Citrobacter,TRUE,NAT_enriched
6.347928908883205,-0.036522880336027595,1.0021964229521105,4.3543504505481103e-4,0.0031475733256819197,Deinococcus,TRUE,NAT_enriched
48.2890572956487,0.07215693904661855,1.004631480686162,4.972472095285241e-4,0.0034000957840734218,Rubellimicrobium,TRUE,Tumor_enriched
12.6023218556556,-0.04465493178380067,1.000892961927593,4.910254959642775e-4,0.0034000957840734218,Skermanella,TRUE,NAT_enriched
13.676254590001994,-0.03194370268663613,1.0038807848849736,7.714542168199177e-4,0.0051362609698799785,Delftia,TRUE,NAT_enriched
5.506001618520907,-0.04499406310094874,1.0042953701396848,8.198813824075341e-4,0.005318717685874516,Lysobacter,TRUE,NAT_enriched
19.380283726485093,0.05637424020149158,1.0005546399715362,8.531403388799442e-4,0.005396112643415648,Unknown genus20,TRUE,Tumor_enriched
12.412813295705607,-8.431596694294875e-4,1.003356402181933,9.472619978839644e-4,0.005845299645479097,Mycoplana,TRUE,NAT_enriched
29.063965600396454,-0.3176847282772073,1.0806139922315634,0.0010181667073658643,0.006133242308656277,Kocuria,TRUE,NAT_enriched
39.76867726573865,0.05798156438128362,1.0002393198102058,0.001750106276711315,0.010034687460052195,Hydrogenophilus,TRUE,Tumor_enriched
11.690233923326737,0.027790187003640797,1.0015603787996479,0.0017160469305647183,0.010034687460052195,Janthinobacterium,TRUE,Tumor_enriched
42.33265334884475,-0.06263804366550939,1.0034532236067424,0.0017848258328156078,0.010034687460052195,Unknown genus476,TRUE,NAT_enriched
4.2089917389188365,-0.05575746761434735,1.0040336229180944,0.002016945538619679,0.011093200462408234,Dialister,TRUE,NAT_enriched
47.38751697366005,0.020329457008747148,1.002644243291463,0.002179319741906401,0.01173123180217701,Unknown genus39,TRUE,Tumor_enriched
27.353944775492074,0.09695295801099992,1.0071261186547178,0.0024225025801797467,0.012768607349697415,Brachybacterium,TRUE,Tumor_enriched
12.200769846476195,-0.04863243598840674,1.004463148248377,0.0028210645895540825,0.014565904921575161,Mesorhizobium,TRUE,NAT_enriched
62.29323343158364,0.004285902388142761,1.0001384905617408,0.0029493810537827196,0.01492386813214056,Brevundimonas,TRUE,Tumor_enriched
23.771437829409663,-0.04206603107095961,1.0039690679560895,0.00336253870448888,0.01668082925952327,Caulobacter,TRUE,NAT_enriched
6.127348002658541,0.0212500035149236,1.0024479201363492,0.005546900181656151,0.026987802806903962,Unknown genus18,TRUE,Tumor_enriched
14.203741797470856,-0.0015829847232952802,1.0025819884940683,0.008417427364934345,0.04018130421374319,Hymenobacter,TRUE,NAT_enriched
4.203186039244379,-0.05686931437698758,1.0029600584170768,0.008768820444874054,0.04108354763987288,Clostridium XlVa,TRUE,NAT_enriched
31.441390352698402,0.2817826822884942,1.0512602447655885,0.014420377494555504,0.06633373647495532,Granulicatella,FALSE,ns
7.253579030253282,-0.06007355036980625,1.0022132772536763,0.016490145313727816,0.07450012079237746,Unknown genus81,FALSE,ns
16.230606234620684,-0.07930376597121269,1.0034463450598525,0.018396939082969348,0.0816565892630043,Shewanella,FALSE,ns
13.421207023332608,-0.05814479210706374,1.00253384558161,0.027345218895557036,0.11928173069958499,Modestobacter,FALSE,ns
15.209721131932316,0.08967039446285457,1.0027319540717925,0.0286105904428869,0.12086963221083584,Campylobacter,FALSE,ns
17.421467662969906,-0.06726345956487076,1.0026894806757292,0.02866473491166067,0.12086963221083584,Nocardioides,FALSE,ns
5.3088004172248064,-0.0397683437104076,1.003163461302271,0.0318087521999248,0.13192810338657335,Kluyvera,FALSE,ns
23.62309062773424,-0.040400189454369635,1.0050316844387719,0.041836808945559106,0.166451096379685,Flavobacterium,FALSE,ns
14.099894185180196,0.08893225236031102,0.9982075716496441,0.04137438727576635,0.166451096379685,Stenoxybacter,FALSE,ns
20.101491464681814,0.03600114203770784,0.9988788614463947,0.0421062061988136,0.166451096379685,Unknown genus44,FALSE,ns
519.5237526731097,0.47702582540323424,0.43016357914616743,0.050128880626919066,0.19511702767093114,Pseudomonas,FALSE,ns
23.057429853881363,0.09688897481085205,1.0012431402326445,0.0575467858286874,0.2205960123433017,Finegoldia,FALSE,ns
77.63232258847128,0.10399142038597366,0.9974516703667858,0.059836002748867245,0.22594789097706586,Chryseobacterium,FALSE,ns
39.91131161476914,-0.05418615685947536,1.0008303187616692,0.06573888392104604,0.24458731811800954,Mycobacterium,FALSE,ns
30.845768395324342,-0.09694268608736431,1.002952798239987,0.07050674649440442,0.2585247371461495,Janibacter,FALSE,ns
14.155130383587494,0.021662394065286344,0.9993530139488828,0.08825802018456894,0.31898970152422773,Faecalibacterium,FALSE,ns
5.956569531552658,-9.091741333934425e-4,1.0006294027057014,0.12360354750014434,0.44044644390896504,Unknown genus73,FALSE,ns
7.880737433945426,0.23071987114401668,1.036234032117765,0.1325232279539492,0.46169848412535863,Unknown genus41,FALSE,ns
44.512381451246746,0.04313712018257187,0.9985519569575676,0.13321734917451059,0.46169848412535863,Unknown genus6,FALSE,ns
18.119248759800424,0.014600048088888607,1.0018838272259738,0.2107182903141086,0.7204287493171551,Clostridium XI,FALSE,ns
67.03643636269312,0.08511289865857351,0.9930313816442962,0.23434173715160217,0.790512793324738,Capnocytophaga,FALSE,ns
27.73320923103993,0.36847670749167133,1.1095198597603224,0.25558354599234306,0.8378036465228649,Clostridium,FALSE,ns
57.10072716222611,0.05761849106457776,0.9916687157647148,0.2582951953706856,0.8378036465228649,Enterobacter,FALSE,ns
17.162810718734548,-0.08024855054058132,0.9964774103870907,0.25342533214999685,0.8378036465228649,Haemophilus,FALSE,ns
8.337727300248076,-0.011965223666612419,1.0016555115518317,0.2660270130159036,0.8519599277597926,Rheinheimera,FALSE,ns
81.6240908496372,-0.0018691876881968947,0.9550129280313234,0.9776210832734916,0.9989725076783261,5-7N15,FALSE,ns
77.98816022002855,-0.010653290144486068,0.9592909052151941,0.9458598507295956,0.9989725076783261,A17,FALSE,ns
44.75048446021172,-0.017392196393739026,0.9814963199227269,0.8707683309461128,0.9989725076783261,Abiotrophia,FALSE,ns
52.71344578558165,-0.018111477401767724,0.9732446578458691,0.88259492223061,0.9989725076783261,Acetivibrio,FALSE,ns
66.6170860299371,-0.03509095943600752,0.9644501465500795,0.8661484775431717,0.9989725076783261,Acetobacter,FALSE,ns
63.80732637742687,-0.018426125931461493,0.9659429287548459,0.944596037424379,0.9989725076783261,Acetobacterium,FALSE,ns
80.92902924768553,0.03386698805106323,0.9568567383940115,0.9024736430872121,0.9989725076783261,Achromobacter,FALSE,ns
78.16849062966087,-0.013128546781423058,0.9570710709151872,0.9284335682070444,0.9989725076783261,Acidaminococcus,FALSE,ns
76.2876538667758,0.007816193243436072,0.9609541849824308,0.993619171097946,0.9989725076783261,Acidovorax,FALSE,ns
107.26219479482731,-0.006125385736328109,0.9539683247819176,0.9444801568729986,0.9989725076783261,Acinetobacter,FALSE,ns
51.14076134946918,-0.08495681905793624,0.9783820615450121,0.6045041684235977,0.9989725076783261,Actinobacillus,FALSE,ns
74.9794710409361,-0.00777165234986471,0.9590904362132199,0.9715940428448935,0.9989725076783261,Actinobaculum,FALSE,ns
66.28944699220386,-0.03574356846125049,0.9667538953599148,0.7921163159491207,0.9989725076783261,Actinomadura,FALSE,ns
89.75994848383579,-0.003380112120871801,0.9534322594448443,0.9677311213174109,0.9989725076783261,Actinomyces,FALSE,ns
67.3199491268069,-3.8837202603036336e-4,0.9654644852042993,0.9229454650688799,0.9989725076783261,Actinomycetospora,FALSE,ns
77.02878480850205,-0.02444030583938567,0.9585235176387348,0.9110515549077818,0.9989725076783261,Actinoplanes,FALSE,ns
73.4150112177644,8.037666058224834e-4,0.9599641375734735,0.9515100138164398,0.9989725076783261,Actinopolymorpha,FALSE,ns
69.74882441936896,-0.010490728299133976,0.9650861260408619,0.9299154906562718,0.9989725076783261,Adhaeribacter,FALSE,ns
72.80207039291552,-0.024018992699009683,0.9620299071401396,0.8896195353923868,0.9989725076783261,Aequorivita,FALSE,ns
64.32196993150694,-0.046046313199897396,0.9669246900529456,0.8167219050794212,0.9989725076783261,Aeribacillus,FALSE,ns
86.92580032917412,3.529446925816958e-4,0.9528323186850565,0.9778703272879838,0.9989725076783261,Aerococcus,FALSE,ns
82.40130395948334,0.00468615585660026,0.9564593236440496,0.9989725076783261,0.9989725076783261,Aeromicrobium,FALSE,ns
79.50501107039335,-0.013962731124494003,0.9599721395781905,0.8910257637897633,0.9989725076783261,Aeromonas,FALSE,ns
80.70432923088461,0.004814561272982863,0.9559020558081903,0.9920536334641868,0.9989725076783261,Afifella,FALSE,ns
85.12349832466896,-0.006224606719153752,0.9546927526221135,0.9601972842631732,0.9989725076783261,Aggregatibacter,FALSE,ns
81.60182094957459,-0.017750495128668706,0.95492566248204,0.9141727178574859,0.9989725076783261,Agrobacterium,FALSE,ns
67.72173502059408,-0.014460823372285964,0.9640557839577529,0.9519046407039615,0.9989725076783261,Agrococcus,FALSE,ns
68.39384223808227,-0.029568430632375017,0.9628848254734148,0.8814938335135001,0.9989725076783261,Agromyces,FALSE,ns
83.42610655098248,-0.0013706393921533756,0.9533784793564737,0.9864302349039002,0.9989725076783261,Akkermansia,FALSE,ns
73.37964511885778,0.004225676017104365,0.9677112906674121,0.9425751419980721,0.9989725076783261,Alcaligenes,FALSE,ns
76.58886848767389,-0.0071960093423294015,0.9599959379342451,0.9389711657570429,0.9989725076783261,Alcanivorax,FALSE,ns
72.50696992881622,-0.03338457803077648,0.9651351593865417,0.8478938001384189,0.9989725076783261,Algoriphagus,FALSE,ns
82.50898765331725,0.0015619087735561812,0.95616810038823,0.9822587325735771,0.9989725076783261,Alicyclobacillus,FALSE,ns
83.64595272831446,0.005710824428091418,0.9545815083714685,0.9754712522247959,0.9989725076783261,Aliidiomarina,FALSE,ns
55.209239052622706,-0.05240728626764017,0.9714903547775463,0.7839101404363041,0.9989725076783261,Alishewanella,FALSE,ns
78.27657781762703,0.0021387482831385575,0.9569466164191017,0.9961493329001697,0.9989725076783261,Alistipes,FALSE,ns
61.392970307604884,-0.015062691554979506,0.9619520452773624,0.9240146492692011,0.9989725076783261,Alkalibacter,FALSE,ns
73.81923228990931,-0.03625223622432591,0.9601602230867472,0.8540999714335926,0.9989725076783261,Alkalibacterium,FALSE,ns
76.99430019317634,0.016276613891195457,0.9579128922286584,0.9499401960372129,0.9989725076783261,Alkaliphilus,FALSE,ns
78.97784967769704,-0.004721173184367105,0.9564187271709916,0.9671062764074988,0.9989725076783261,Alkanindiges,FALSE,ns
79.29844042333023,-0.01444737288969692,0.9575709951745874,0.9189967723352304,0.9989725076783261,Allobaculum,FALSE,ns
89.49753238495757,0.0030887409337443227,0.9566323186302002,0.995746077196866,0.9989725076783261,Alloiococcus,FALSE,ns
82.1853502833622,-0.007053046651327422,0.9569382687513844,0.950845253928162,0.9989725076783261,Alloscardovia,FALSE,ns
80.32002788563283,0.006288284172648037,0.9566956953311426,0.9833069298765341,0.9989725076783261,Altererythrobacter,FALSE,ns
78.88188132442029,-6.175303936866487e-4,0.955554294129382,0.982932499914878,0.9989725076783261,Amaricoccus,FALSE,ns
81.0285420032395,0.02126499656889713,0.9575117290632192,0.9368769311460289,0.9989725076783261,Aminobacter,FALSE,ns
82.82621295679797,0.0056481654493015215,0.9557063395017266,0.9972020443250388,0.9989725076783261,Ammoniphilus,FALSE,ns
50.34188504426671,-0.062388113676609236,0.9758283462171883,0.7804598954576194,0.9989725076783261,Amnibacterium,FALSE,ns
58.72291860327216,-0.05217714586314193,0.9673613515493212,0.8010638882336898,0.9989725076783261,Amphibacillus,FALSE,ns
69.94948120904257,-0.003527314711443522,0.9583880821504704,0.9754980767516573,0.9989725076783261,Anaerobiospirillum,FALSE,ns
84.67784711180022,-0.0018940447126287454,0.9603746150330082,0.9711446654827599,0.9989725076783261,Anaerococcus,FALSE,ns
73.20723957694283,0.008746420218436577,0.9586563770679083,0.9907070214406232,0.9989725076783261,Anaerofilum,FALSE,ns
52.90237750907933,-0.009390366665926679,0.9703604051462971,0.9254552150090315,0.9989725076783261,Anaerolinea,FALSE,ns
81.50215195005435,0.003887218910293538,0.9569008040540292,0.9942824779588291,0.9989725076783261,Anaeroplasma,FALSE,ns
63.104817641234845,-0.012504994347613683,0.9646174878038252,0.8597883451280321,0.9989725076783261,Anaerospora,FALSE,ns
66.06222678896239,0.0015660236355965402,0.9646692543314861,0.9535709349808789,0.9989725076783261,Anaerostipes,FALSE,ns
75.71867525569692,-9.344339710817349e-5,0.9560402929798977,0.9458855555561798,0.9989725076783261,Anaerotruncus,FALSE,ns
77.00851803375738,0.010477739416064842,0.9591574345829613,0.9809008231648092,0.9989725076783261,Anaerovorax,FALSE,ns
83.96974424921926,-0.007815721101245883,0.9544651246732221,0.961168608009181,0.9989725076783261,Ancylobacter,FALSE,ns
48.315802186898004,-0.06680591267186933,0.9775213965941603,0.7061099557511687,0.9989725076783261,Anoxybacillus,FALSE,ns
81.20279835699291,0.007835574358872052,0.9565606436643855,0.9849909049668747,0.9989725076783261,Aquabacterium,FALSE,ns
80.95927145302907,0.0022965546726537527,0.9565740151160161,0.9961372264630037,0.9989725076783261,Aquamicrobium,FALSE,ns
37.01283041220151,-0.03811717771272733,0.9804482230440762,0.8352519957300725,0.9989725076783261,Aquisphaera,FALSE,ns
68.49789867066163,-0.012134471268979598,0.9641712916047209,0.9472493437043344,0.9989725076783261,Arcicella,FALSE,ns
61.128836172554614,-0.053593445900273665,0.9652073165553456,0.8630983025593529,0.9989725076783261,Arcobacter,FALSE,ns
42.18498423375504,-0.10873931266652324,0.9859090679499831,0.6750501512337832,0.9989725076783261,Arcticibacter,FALSE,ns
52.45774599967685,-0.047717138993662374,0.9745419840217577,0.8317979893322053,0.9989725076783261,Ardenscatena,FALSE,ns
26.709411482537284,-0.1227150109950666,0.9979857495087,0.7768334830087055,0.9989725076783261,Arenimonas,FALSE,ns
74.26390004089517,-0.007040949485156722,0.960845295174048,0.9447389238494489,0.9989725076783261,Armatimonas/Armatimonadetes_gp1,FALSE,ns
82.613283757169,-4.903935401920714e-4,0.9563617965597048,0.9864085899377933,0.9989725076783261,Arsenicicoccus,FALSE,ns
84.82969532000756,-0.013111360897537342,0.9557436189467394,0.9362648831393814,0.9989725076783261,Arthrobacter,FALSE,ns
33.643790119464995,-0.0833286462960264,0.9836566261715144,0.8061171346800058,0.9989725076783261,Asteroleplasma,FALSE,ns
76.34046346452502,-0.024124558905044106,0.9608994142953616,0.8852225142198582,0.9989725076783261,Asticcacaulis,FALSE,ns
84.2945535774121,0.008093935107888073,0.9544450758788502,0.9952329855662448,0.9989725076783261,Atopobium,FALSE,ns
75.7679434521348,0.014126779389050303,0.9601235432121777,0.9803522515834605,0.9989725076783261,Atopostipes,FALSE,ns
77.50087524078621,0.002881755954155472,0.9592151332223521,0.9770177221886746,0.9989725076783261,Aurantimonas,FALSE,ns
30.58575014143869,-0.007942823099887508,0.985024345877905,0.9001220361073976,0.9989725076783261,Auraticoccus,FALSE,ns
77.20938811744502,-0.013941250967396086,0.9597553927242108,0.9193342406225111,0.9989725076783261,Azoarcus,FALSE,ns
79.96366060115069,-0.023730760514183543,0.9556317044237761,0.9001480789616728,0.9989725076783261,Azomonas,FALSE,ns
21.519326661730297,-0.2350453660607673,1.0384633832066605,0.7582806034569206,0.9989725076783261,Azorhizobium,FALSE,ns
82.51886631635352,-0.011830444145276802,0.9559710550280907,0.9534446494687883,0.9989725076783261,Azospira,FALSE,ns
80.62308197181954,-0.008117975673939315,0.9566121114796357,0.965780010939598,0.9989725076783261,Azospirillum,FALSE,ns
83.3983843123272,-0.0026395041457223695,0.9537942387350326,0.9736921876401136,0.9989725076783261,Azotobacter,FALSE,ns
